Fecha,P38,P42,P43,P55,P57
2017-06-01,127.00,194.16,,104.70,
2017-07-01,48.80,253.44,,104.90,
2017-08-01,60.10,163.20,95.20,88.00,
2017-09-01,63.50,138.96,85.60,63.70,
2017-10-01,49.30,128.64,82.60,42.30,
2017-11-01,70.00,90.96,78.60,91.90,
2017-12-01,86.00,132.24,90.50,64.60,
2018-01-01,116.30,91.26,107.60,86.10,
2018-02-01,44.80,26.20,44.20,62.00,
2018-03-01,49.80,,65.50,54.70,
2018-04-01,100.70,,150.70,112.90,
2018-05-01,98.50,114.90,171.30,64.30,
2018-06-01,93.00,73.90,143.10,67.30,
2018-07-01,73.10,76.10,91.20,65.10,
2018-08-01,37.70,80.90,100.00,77.60,
2018-09-01,32.40,63.20,104.60,86.10,
2018-10-01,26.40,39.80,55.90,103.10,
2018-11-01,,52.80,,149.30,
2018-12-01,,54.60,,74.20,
2019-01-01,,36.90,,67.70,
2019-02-01,,42.60,,85.60,
2019-03-01,,36.60,,96.30,
2019-04-01,,52.10,,,
2019-05-01,,110.30,,,
2019-06-01,,134.80,,118.40,
2019-07-01,,92.30,127.70,127.80,
2019-08-01,,92.50,,,
2019-09-01,,45.40,,60.90,
2019-10-01,,31.90,,104.50,
2019-11-01,,61.90,,68.50,
2019-12-01,49.50,92.10,69.80,67.40,
2020-01-01,,129.70,81.00,82.60,
2020-02-01,63.30,57.40,,63.70,
2020-03-01,,,,31.70,
2020-04-01,,,,50.40,
2020-05-01,,,,,
2020-06-01,,,,142.60,
2020-07-01,,,,144.50,
2020-08-01,,,,52.50,
2020-09-01,,119.80,,104.30,
2020-10-01,,,,49.80,
2020-11-01,,,111.80,125.60,
2020-12-01,,,57.50,58.00,
2021-01-01,,,86.20,64.60,
2021-02-01,,,83.20,75.20,
2021-03-01,,,136.00,209.40,
2021-04-01,173.60,169.40,175.70,,
2021-05-01,138.50,156.40,167.10,126.70,
2021-06-01,142.40,176.30,195.70,116.70,
2021-07-01,102.30,,177.90,92.00,
2021-08-01,73.60,,104.90,73.70,
2021-09-01,130.70,158.00,156.40,112.80,
2021-10-01,110.90,76.80,90.30,86.90,
2021-11-01,80.80,73.90,80.80,57.40,
2021-12-01,70.80,15.90,73.80,51.80,
2022-01-01,35.40,0.30,45.00,33.00,
2022-02-01,52.10,0.00,71.10,60.10,
2022-03-01,82.10,0.00,105.20,60.50,
2022-04-01,161.00,69.50,128.50,80.90,
2022-05-01,114.90,129.10,154.10,104.90,
2022-06-01,139.40,170.10,188.00,158.80,
2022-07-01,145.30,165.20,172.30,133.30,
2022-08-01,77.40,,,,
2022-09-01,57.60,,,,
2022-10-01,97.60,,63.60,,
2022-11-01,,52.70,55.00,,
2022-12-01,,,66.40,54.90,
2023-01-01,,,80.30,70.40,
2023-02-01,41.70,,45.20,40.60,
2023-03-01,175.10,167.40,146.40,124.80,
2023-04-01,121.40,,106.00,98.80,
2023-05-01,83.70,,143.00,91.30,
2023-06-01,117.00,,177.50,73.50,
2023-07-01,162.20,157.50,230.60,93.60,
2023-08-01,135.30,127.90,159.20,78.70,
2023-09-01,61.30,63.00,75.10,,
2023-10-01,63.10,45.40,56.60,41.50,
2023-11-01,,,,69.30,
2023-12-01,,,,78.10,
2024-01-01,,42.20,73.60,61.10,
2024-02-01,66.50,80.30,72.60,73.20,
2024-03-01,83.00,76.20,82.40,73.50,
2024-04-01,32.40,129.89,156.30,120.90,
2024-05-01,188.70,13.86,162.10,92.70,
2024-06-01,185.90,14.83,179.70,105.00,
2024-07-01,139.80,14.20,165.90,93.60,
2024-08-01,109.10,,76.40,50.70,
2024-09-01,103.10,,125.60,81.00,
2024-10-01,75.60,,46.90,33.50,
2024-11-01,33.90,,50.50,54.40,
2024-12-01,112.80,,152.30,73.20,
